,location,beds,size_sqft,bath,balcony,price
181,Hebbal Kempapura,3 BHK,1700.0,3.0,2.0,155000.0
182,Thanisandra,3 BHK,2144.0,3.0,2.0,145000.0
183,Vijayanagar,3 BHK,1704.0,3.0,2.0,110000.0
184,Electronic City,2 BHK,1070.0,2.0,1.0,52000.0
185,8th block Koramangala,3 BHK,1846.0,3.0,2.0,300000.0
186,Jakkuru Layout,2 BHK,1340.0,2.0,2.0,55700.0
187,Electronic City,2 BHK,1025.0,2.0,1.0,46000.0
188,KR Puram,2 BHK,1277.5,2.0,0.0,56800.0
189,Marathahalli,2 BHK,1200.0,2.0,2.0,52000.0
190,Kanakpura Road,4 BHK,2250.0,4.0,1.0,110000.0
191,Pattandur Agrahara,3 BHK,1550.0,2.0,3.0,80000.0
192,Bellandur,4 BHK,1200.0,5.0,,325000.0
193,Ejipura,7 BHK,1800.0,7.0,1.0,250000.0
194,Marathahalli,2 BHK,1200.0,2.0,2.0,60000.0
195,Yelahanka,2 BHK,1327.0,2.0,2.0,98000.0
196,Kothanur,2 BHK,1186.0,2.0,2.0,58000.0
197,MS Pallya,3 BHK,1783.0,3.0,1.0,115000.0
198,HSR Layout,3 BHK,1400.0,3.0,2.0,56000.0
199,Nagasandra,2 BHK,980.0,2.0,1.0,48000.0
200,EPIP Zone,2 BHK,1285.0,2.0,2.0,82000.0
201,Langford Town,3 BHK,912.0,2.0,1.0,70000.0
202,Whitefield,2 BHK,1225.0,2.0,2.0,47600.0
203,Whitefield,2 BHK,1075.0,2.0,1.0,53000.0
204,Kadugodi,3 BHK,1260.0,2.0,2.0,54000.0
205,Yelahanka,3 BHK,1282.0,2.0,2.0,48700.0
206,Kogilu,3 BHK,1909.0,3.0,2.0,88000.0
207,Panathur,2 BHK,1359.0,2.0,1.0,87000.0
208,Nagondanahalli,2 BHK,1207.0,2.0,2.0,43500.0
209,Padmanabhanagar,4 BHK,1736.0,6.0,0.0,190000.0
210,1st Block Jayanagar,4 BHK,2850.0,4.0,1.0,428000.0
211,Kammasandra,3 BHK,1595.0,3.0,2.0,65000.0
212,"Off Sarjapur Road, ",3 BHK,1798.0,3.0,2.0,89000.0
213,Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,78290.0
214,Tala Cauvery Layout,3 BHK,1580.0,3.0,3.0,100000.0
215,Dasarahalli,2 BHK,1295.0,2.0,1.0,65000.0
216,Magadi Road,6 BHK,3600.0,6.0,0.0,141000.0
217,Electronic City,1 BHK,589.0,1.0,1.0,27000.0
218,Ngef Layout,3 BHK,1415.0,3.0,3.0,78000.0
219,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,98290.0
220,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,125000.0
221,Koramangala,3 BHK,1475.0,2.0,3.0,90000.0
222,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,1.0,75500.0
223,Sarjapur  Road,2 BHK,984.0,2.0,1.0,44280.0
224,Devanahalli,3 BHK,1630.0,,,74820.0
225,Muthurayya Swamy Layout,3 BHK,2405.0,4.0,2.0,260000.0
226,7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,72000.0
227,Shantiniketan Layout,2 BHK,1500.0,2.0,1.0,115000.0
228,Hebbal,3 BHK,1900.0,3.0,2.0,119000.0
229,Dommasandra,2 BHK,805.0,2.0,1.0,22140.0
230,Budigere,2 BHK,1153.0,2.0,2.0,56400.0
231,Dodda Nekkundi Extension,2 BHK,1148.0,2.0,2.0,60000.0
232,Mylasandra,2 BHK,1110.0,2.0,2.0,55000.0
233,Electronic City,2 BHK,1100.0,2.0,2.0,42000.0
234,Kalyan nagar,2 BHK,1290.0,2.0,2.0,110000.0
235,Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,1.0,65000.0
236,Bank Of Baroda Colony,2 BHK,1080.0,2.0,2.0,39000.0
237,Vijayanagar,3 BHK,1933.0,3.0,1.0,129000.0
238,Ramamurthy Nagar,5 BHK,3500.0,5.0,2.0,150000.0
239,Kullappa Colony,2 BHK,1060.0,2.0,2.0,60000.0
240,Chandapura,1 BHK,645.0,1.0,1.0,16450.0
241,Mukkutam Nagar,8 BHK,2600.0,8.0,2.0,180000.0
242,Chandapura,1 BHK,645.0,1.0,1.0,16450.0
243,Ashwath Nagar,3 BHK,1644.0,3.0,3.0,84000.0
244,Ncpr Industrial Layout,2 BHK,1285.0,2.0,3.0,72500.0
245,Electronic City,3 BHK,1200.0,3.0,1.0,90000.0
246,Electronic City,2 BHK,910.0,2.0,1.0,40000.0
247,Kothanur,3 BHK,1577.0,3.0,1.0,70000.0
248,Meenakunte,3 BHK,4050.0,3.0,2.0,280000.0
249,OMBR Layout,3 BHK,2420.0,3.0,2.0,185000.0
250,Chandapura,2 BHK,800.0,1.0,1.0,20000.0
251,Anand Nagar,2 BHK,1060.0,2.0,2.0,55000.0
252,7th Phase JP Nagar,2 BHK,1270.0,2.0,2.0,93000.0
253,Shree Ananth Nagar Layout,2 BHK,900.0,2.0,2.0,22500.0
254,Kundalahalli Colony,2 BHK,1280.0,2.0,1.0,69000.0
255,Horamavu Agara,4 BHK,1200.0,2.0,0.0,95000.0
256,Sarjapur  Road,2 BHK,1025.0,2.0,2.0,36000.0
257,Electronic City,2 BHK,1108.0,2.0,1.0,63000.0
258,MCECHS  layout,5 BHK,1200.0,5.0,,170000.0
259,Coffee Board Layout,3 BHK,3045.0,3.0,2.0,170000.0
260,Ambedkar Nagar,4 BHK,2900.0,3.0,2.0,300000.0
261,Vijayanagar,3 BHK,1500.0,3.0,2.0,75500.0
262,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,2.0,43900.0
263,Budigere,2 BHK,1162.0,2.0,1.0,59900.0
264,Sarjapur  Road,2 BHK,1035.0,2.0,2.0,49200.0
265,Attibele,4 BHK,1600.0,4.0,0.0,52800.0
266,KUDLU MAIN ROAD,3 BHK,1464.0,3.0,2.0,46000.0
267,Hennur Road,3 BHK,1866.0,2.0,2.0,61580.0
268,Geleyara Balaga Layout,2 BHK,700.0,1.0,1.0,26000.0
269,Kalena Agrahara,3 BHK,1804.0,3.0,2.0,120000.0
270,Sarjapur,2 BHK,913.0,2.0,1.0,32000.0
271,Talaghattapura,3 BHK,1868.0,3.0,2.0,131000.0
272,Kengeri Satellite Town,2 BHK,883.0,2.0,1.0,45000.0
273,Sundara Nagar,2 BHK,900.0,2.0,1.0,110000.0
274,Kogilu,3 BHK,1664.0,2.0,3.0,73950.0
275,Hegde Nagar,3 BHK,2026.0,3.0,2.0,132000.0
276,Balagere,2 BHK,1210.0,2.0,1.0,80900.0
277,Meenakunte,4 BHK,4111.0,4.0,2.0,250000.0
278,Kadugodi,3 BHK,1762.0,3.0,3.0,91450.0
279,Jigani,3 BHK,1252.0,3.0,3.0,55000.0
280,Gollarapalya Hosahalli,2 BHK,861.0,2.0,1.0,34500.0
281,7th Phase JP Nagar,3 BHK,1420.0,2.0,1.0,100000.0
282,Srirampura,6 BHK,1450.0,6.0,0.0,250000.0
283,Electronics City Phase 1,3 BHK,1490.0,3.0,1.0,78800.0
284,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,46000.0
285,Old Madras Road,3 BHK,1425.0,2.0,2.0,94000.0
286,Kalena Agrahara,2 BHK,1200.0,2.0,1.0,40000.0
287,Kaggadasapura,3 BHK,1280.0,2.0,2.0,56000.0
288,Silver Springs Layout,2 BHK,1084.0,2.0,2.0,50000.0
289,Chandapura,2 BHK,1015.0,2.0,2.0,25880.0
290,Kanakpura Road,2 BHK,1017.0,2.0,1.0,51250.0
291,Haralur Road,2 BHK,1027.0,2.0,2.0,44000.0
292,Electronic City Phase II,2 BHK,1069.0,2.0,2.0,45000.0
293,Hebbal,2 BHK,1349.0,2.0,1.0,98200.0
294,9th Phase JP Nagar,2 BHK,1005.0,2.0,1.0,50000.0
295,Jakkur,2 BHK,1417.0,2.0,3.0,75000.0
296,TC Palaya,3 BHK,1475.0,3.0,1.0,98000.0
297,Maruthi Sevanagar,2 BHK,950.0,2.0,2.0,47000.0
298,RMV 2nd Stage,4 BHK,2000.0,4.0,0.0,120000.0
299,Giri Nagar,3 BHK,880.0,3.0,1.0,140000.0
300,Sarjapur  Road,4 BHK,1863.0,3.0,2.0,104000.0
301,Singasandra,2 BHK,1010.0,2.0,1.0,29500.0
302,Kalena Agrahara,3 BHK,1425.0,2.0,1.0,70000.0
303,Vijayanagar,3 BHK,1450.0,3.0,0.0,100000.0
304,Kothanur,3 BHK,1847.0,3.0,2.0,105000.0
305,AECS Layout,2 BHK,1100.0,2.0,3.0,45000.0
306,Kanakpura Road,1 BHK,525.0,1.0,1.0,26000.0
307,Mallasandra,3 BHK,1665.0,3.0,2.0,95000.0
308,Begur,4 BHK,1664.0,4.0,3.0,65000.0
309,JP Nagar,3 BHK,1850.0,3.0,3.0,150000.0
310,Panathur,2 BHK,1438.0,2.0,3.0,100000.0
311,Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,3.0,115000.0
312,Yelahanka,2 BHK,1350.0,2.0,1.0,55550.0
313,Kanakpura Road,3 BHK,1550.0,3.0,3.0,67000.0
314,Malleshpalya,2 BHK,1140.0,2.0,2.0,46500.0
315,Srirampura,5 BHK,1200.0,5.0,2.0,180000.0
316,Kodathi,2 BHK,850.0,2.0,2.0,27000.0
317,Whitefield,2 BHK,1280.0,2.0,2.0,75000.0
318,Munnekollal,2 BHK,1170.0,2.0,2.0,52000.0
319,Motappa Layout,2 BHK,1113.0,2.0,1.0,51000.0
320,Hennur Road,2 BHK,1385.0,2.0,1.0,83090.0
321,Electronic City,2 BHK,1128.0,2.0,1.0,65000.0
322,Marathahalli,2 BHK,1200.0,2.0,2.0,128000.0
323,Akshaya Vana,4 BHK,1200.0,4.0,3.0,165000.0
324,Rajaji Nagar,3 BHK,2390.0,3.0,2.0,415000.0
325,Giri Nagar,4 BHK,2400.0,4.0,1.0,400000.0
326,Haralur Road,3 BHK,1464.0,3.0,2.0,56000.0
327,Manayata Tech Park,2 BHK,1200.0,2.0,2.0,55000.0
328,Kaval Byrasandra,2 BHK,1200.0,2.0,2.0,52000.0
329,Kaggalipura,3 BHK,1150.0,2.0,1.0,55000.0
330,Basavanna Nagar,3 BHK,1645.0,3.0,2.0,95000.0
331,Sarjapur  Road,2 BHK,1000.0,2.0,1.0,67000.0
332,Haralur Road,4 BHK,2650.0,4.0,2.0,198000.0
333,6th Phase JP Nagar,2 BHK,1192.0,2.0,2.0,74000.0
334,Ulsoor,3 BHK,2135.0,3.0,2.0,215000.0
335,Whitefield,2 BHK,1173.0,2.0,1.0,58000.0
336,Uttarahalli,2 BHK,1020.0,2.0,2.0,45000.0
337,Thigalarapalya,4 BHK,3122.0,6.0,2.0,230000.0
338,Somasundara Palya,3 BHK,1600.0,3.0,3.0,64000.0
339,T.C PALYA,2 BHK,1200.0,2.0,0.0,79000.0
340,Muneshwara Nagar,2 BHK,1230.0,2.0,3.0,48000.0
341, Devarachikkanahalli,2 BHK,1250.0,2.0,2.0,40000.0
342,Kalena Agrahara,2 BHK,1325.0,2.0,2.0,76000.0
343,7th Phase JP Nagar,3 BHK,1850.0,3.0,1.0,150000.0
344,Kanakpura Road,1 BHK,525.0,,,21530.0
345,Basaveshwara Nagar,2 BHK,1200.0,2.0,2.0,65000.0
346,Bull Temple Road,3 BHK,1350.0,2.0,0.0,140000.0
347,Bommasandra,3 BHK,1260.0,3.0,1.0,49360.0
348,Prashanth Nagar,3 BHK,1800.0,3.0,0.0,150000.0
349,Suragajakkanahalli,3 BHK,11.0,3.0,2.0,74000.0
350,Ardendale,2 BHK,1100.0,2.0,1.0,43250.0
351,Harlur,2 BHK,1508.0,2.0,1.0,77000.0
352,Sampigehalli,3 BHK,1592.0,3.0,2.0,75000.0
353,Akshaya Nagar,2 BHK,1388.0,2.0,3.0,57000.0
354,Electronic City Phase II,1 BHK,630.0,1.0,1.0,28350.0
355,RMV,3 BHK,2000.0,3.0,2.0,365000.0
356,Banashankari3rd stage bigbazar,3 BHK,1762.0,3.0,1.0,125000.0
357,Bagalur Main Road,2 BHK,950.0,2.0,2.0,50000.0
358,Kodihalli,4 BHK,3252.0,5.0,3.0,335000.0
359,Magadi Road,2 BHK,1116.0,2.0,1.0,50000.0
360,Narayanapura,2 BHK,1308.0,2.0,2.0,89040.0
361,MS Pallya,3 BHK,1200.0,3.0,0.0,90000.0
362,Binny Mills Employees Colony,4 BHK,1500.0,4.0,2.0,230000.0
363,Bannerghatta Road,1 BHK,500.0,1.0,1.0,18500.0
364,Hennur,2 BHK,1075.0,2.0,1.0,52000.0
365,Chandapura,1 BHK,530.0,1.0,0.0,11660.0
366,Bellandur,2 BHK,1205.0,2.0,3.0,66000.0
367,5th Phase JP Nagar,2 BHK,1075.0,2.0,2.0,60000.0
368,KR Puram,2 BHK,930.0,2.0,2.0,39000.0
369,Balagere,2 BHK,1380.0,2.0,1.0,60000.0
370,Hebbal,4 BHK,2483.0,5.0,2.0,212000.0
371,Kodigehaali,2 BHK,1166.0,2.0,2.0,55000.0
372,Bannerghatta Road,2 BHK,1050.0,2.0,1.0,65000.0
373,Gopalapura,3 BHK,2023.71,3.0,2.0,275000.0
374,Begur Road,2 BHK,1200.0,2.0,2.0,46800.0
375,Lakshminarayana Pura,3 BHK,1600.0,2.0,1.0,108000.0
376,Billekahalli,3 BHK,1935.0,3.0,2.0,110000.0
377,8th Phase JP Nagar,1 BHK,451.0,1.0,0.0,29900.0
378,Electronic City,3 BHK,1800.0,3.0,2.0,95000.0
379,Jalahalli,3 BHK,1400.0,3.0,0.0,77000.0
380,Hegde Nagar,3 BHK,1801.0,3.0,2.0,115000.0
381,Mahadevpura,2 BHK,1451.0,2.0,,90000.0
382,Anekal,2 BHK,1200.0,1.0,1.0,36000.0
383,Begur Road,2 BHK,1160.0,2.0,2.0,44000.0
384,Kengeri,2 BHK,1000.0,2.0,1.0,25000.0
385,Kanakpura Road,2 BHK,950.0,2.0,1.0,40000.0
386,"Hoodi Circle, ",3 BHK,1629.0,3.0,2.0,79000.0
387,Vijayanagar,3 BHK,1580.0,2.0,0.0,134000.0
388,Vijayanagar,3 BHK,1826.0,3.0,2.0,121000.0
389,7th Phase JP Nagar,2 BHK,1245.0,2.0,1.0,94000.0
390,Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,2.0,45790.0
391,Sompura,2 BHK,825.0,2.0,1.0,33000.0
392,Yeshwanthpur,3 BHK,1693.0,3.0,3.0,108000.0
393,Electronics City Phase 1,2 BHK,1113.27,2.0,2.0,53000.0
394,Ashirvad Colony,2 BHK,1460.0,2.0,1.0,58000.0
395,Doddathoguru,2 BHK,1050.0,2.0,1.0,32000.0
396,Dodda Nekkundi,2 BHK,1260.0,2.0,2.0,55000.0
397,K N Extension,6 BHK,700.0,3.0,,120000.0
398,Hosur Road,2 BHK,1656.0,2.0,1.0,120000.0
399,Chandapura,3 BHK,1208.0,3.0,1.0,45000.0
400,Whitefield,3 BHK,1910.0,3.0,2.0,161000.0
401,Whitefield,4 BHK,3252.0,4.0,1.0,230000.0
402,Battarahalli,2 BHK,1200.0,2.0,1.0,65000.0
403,Gokula Extension,4 BHK,1200.0,4.0,1.0,175000.0
404,7th Phase JP Nagar,2 BHK,1175.0,2.0,1.0,82000.0
405,Kamakshipalya,2 BHK,1000.0,2.0,0.0,165000.0
406,Bannerghatta Road,4 BHK,1200.0,2.0,0.0,125000.0
407,Rajaji Nagar,3 BHK,2390.0,3.0,2.0,410000.0
